"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SCRN3",0.126702546590507,0.50388647992131,0.307,0.301,1
"PRR3",0.126708421430506,0.341180061429803,0.313,0.338,1
"ASCC3",0.126732617235117,0.106393269961543,0.557,0.571,1
"NTPCR",0.126737641847708,0.104276545354988,0.417,0.449,1
"MND1",0.126792461077169,-0.217906949796649,0.168,0.183,1
"HIST1H4D",0.127153944115867,0.830546352824739,0.01,0.006,1
"XRCC1",0.127399440111052,0.460996754864308,0.422,0.423,1
"COPRS",0.127485305060229,0.159203307064938,0.281,0.31,1
"ASH2L",0.127862751758686,0.152219538851537,0.407,0.452,1
"ORC3",0.127882163202299,0.268955699866306,0.478,0.505,1
"LOC399753",0.127930964878038,0.111275049502512,0.09,0.102,1
"IL12RB1",0.128036208569668,0.196632134459612,0.711,0.744,1
"ZNF665",0.128050502094566,1.73591587400042,0.659,0.696,1
"HOTAIR",0.128065994769115,1.2802065970717,0.085,0.075,1
"SPTBN2",0.128099166755984,-0.102240643483553,0.292,0.311,1
"KRT8",0.128259233760815,0.401593336067976,0.302,0.29,1
"TTC30B",0.128286540420187,0.518301497667493,0.104,0.118,1
"PEX3",0.128313293547423,0.172572855156405,0.271,0.301,1
"FAT2",0.128363675335547,0.921275677753267,0.037,0.045,1
"NUP160",0.128363938023405,0.286320558746498,0.595,0.604,1
"TLK2",0.128664668574658,0.1973911815458,0.538,0.567,1
"BAGE4",0.128805424907878,-0.620696070308147,0.033,0.04,1
"PPP1R2P3",0.128831036909757,-0.261304390290715,0.038,0.047,1
"YAP1",0.128949657928981,1.01787354833762,0.1,0.088,1
"LY75",0.129155881727397,-0.1207445453781,0.606,0.653,1
"LOC100507377",0.129230394829216,-0.137763669878576,0.013,0.019,1
"PQLC2",0.129271416205233,-0.14889744634967,0.682,0.736,1
"GPNMB",0.129319286798915,0.82558567891609,0.039,0.048,1
"ZSCAN23",0.129340859245224,1.04932356407453,0.127,0.116,1
"STAP2",0.12936965227014,0.462647734801764,0.207,0.195,1
"FAM66E",0.129608941731214,-0.266737353774455,0.057,0.067,1
"SPSB4",0.129632553783924,0.179771926255814,0.295,0.279,1
"ERAP2",0.129681876800158,0.989010295407668,0.378,0.385,1
"VAMP4",0.129746373213645,0.655512747586944,0.274,0.303,1
"CXCL2",0.12978231950414,2.89316038067948,0.035,0.028,1
"NAT8",0.129863281147378,-0.210727218967798,0.012,0.016,1
"C9orf170",0.129888239648368,0.682801956600578,0.029,0.023,1
"GALNT18",0.129969554499628,0.436139207887331,0.083,0.096,1
"MIR4712",0.130086682432739,1.81417440034395,0.014,0.009,1
"COX14",0.13027636375315,0.243945735393803,0.382,0.369,1
"ZUFSP",0.130343730917408,0.321961564004184,0.29,0.316,1
"ERMN",0.130425025865184,-0.897005644747057,0.022,0.028,1
"MDS2",0.130660303654221,0.269328918945343,0.028,0.035,1
