"gene","logFC","AveExpr","t","pval","padj","B","sig"
"UGT2B28",0.00169568717728576,0.00179237289491852,0.954222898614759,0.347999215665782,0.696764876027562,-5.54872365062627,"NS"
"SPACA3",-0.00230370971013573,0.00240555669828492,-0.954090029989754,0.34806530316739,0.696793949969031,-5.54884265960509,"NS"
"COQ3",-0.110388219534869,0.582644465396583,-0.953997791870677,0.348116664850335,0.696793949969031,-5.54892007189825,"NS"
"ZNF512B",0.0642735269459956,0.424794969991576,0.953984039605162,0.348123506089584,0.696793949969031,-5.54893238766443,"NS"
"WASF1",-0.273427082266078,1.18421431654221,-0.953917189118361,0.348156762996298,0.696793949969031,-5.54899225289,"NS"
"PREX2",-0.198290600794981,0.434519971006132,-0.95386975478113,0.348180362010447,0.696793949969031,-5.54903472839841,"NS"
"SEMA3B",0.11879028062952,0.447055051736764,0.953676041630627,0.348276747182872,0.696920136553418,-5.5492081701189,"NS"
"BUB1B",-0.109825970870216,0.416536239410949,-0.9534232001057,0.348402579526341,0.69703569813452,-5.54943450312397,"NS"
"PPIL1",-0.239866262053702,1.49823142705114,-0.953303767423285,0.348462028503227,0.69703569813452,-5.54954139469875,"NS"
"SETD6",0.0804324426132615,0.697295542324389,0.953301101253122,0.348463355697249,0.69703569813452,-5.54954378076322,"NS"
"HTR6",0.00399896908048228,0.0046191523852246,0.95329208462225,0.348467844114981,0.69703569813452,-5.54955185006789,"NS"
"LAMA3",0.0574111004080147,0.0476918671750423,0.952982463556884,0.348621994863865,0.697277337919317,-5.54982889774612,"NS"
"HMGN1",-0.305326686251783,5.03321161515236,-0.952813766384163,0.348706003171773,0.697378653306418,-5.54997981191103,"NS"
"FAM138F",0.0192568690731421,0.0360010169072657,0.952441628144855,0.34889136955504,0.697541139731406,-5.55031263338745,"NS"
"SERINC5",-0.383873671544039,2.28192587705461,-0.952402023718159,0.348911100861489,0.697541139731406,-5.55034804641697,"NS"
"SNUPN",-0.137630928732946,1.03556641831151,-0.952323865675871,0.348950042140783,0.697541139731406,-5.55041792883726,"NS"
"RBM3",0.385257203319683,3.69406549610395,0.952311653240853,0.348956127098374,0.697541139731406,-5.55042884769681,"NS"
"ARRDC1",0.0860811139932783,0.445040279563427,0.95215718226048,0.349033099807026,0.697541139731406,-5.55056694538396,"NS"
"RASA4CP",-0.059557480381468,0.231738387098904,-0.952138881632193,0.349042219741194,0.697541139731406,-5.55058330483365,"NS"
"MIR1972-1",0.00391634911433741,0.00570973470305294,0.952114968730127,0.349054136735841,0.697541139731406,-5.55060468081099,"NS"
"MIR1972-2",0.00391634911433741,0.00570973470305294,0.952114968730127,0.349054136735841,0.697541139731406,-5.55060468081099,"NS"
"TAB2",-0.112997114990346,0.624345218045685,-0.951934726749124,0.349143969084113,0.697610087485115,-5.5507657847438,"NS"
"PBK",-0.210662675575714,0.803206530033941,-0.951911860184134,0.349155366853112,0.697610087485115,-5.55078622130562,"NS"
"FAM110B",-0.269438046346985,1.69429089060808,-0.951738555348842,0.349241758206675,0.697674346096801,-5.5509410943265,"NS"
"CCDC169-SOHLH2",0.0412930338588777,0.0590070949193237,0.951671255269519,0.349275310720243,0.697674346096801,-5.55100122961164,"NS"
"PIN4P1",0.108550496402758,0.42197033356915,0.951646546249041,0.34928762996515,0.697674346096801,-5.55102330710241,"NS"
"LOC643529",-0.0634346976341145,0.116604769633453,-0.951503389674085,0.349359009655308,0.697681745024858,-5.55115120685086,"NS"
"LOC100507634",-0.0502736007615679,0.114057287892741,-0.951498930800371,0.349361233063137,0.697681745024858,-5.55115519023405,"NS"
"PAF1",0.21362688509326,1.97706764193507,0.951438361394685,0.349391436804978,0.697681745024858,-5.55120929884183,"NS"
"SNORD116-2",0.00503199735550993,0.00805139900310579,0.951118645837726,0.349550896167067,0.697684411948922,-5.55149485774841,"NS"
"FUT3",0.0178683360364827,0.0257985775425384,0.951090489269387,0.349564941694805,0.697684411948922,-5.55152000192717,"NS"
"COX11",-0.172293812958513,1.73721589376308,-0.95107902082606,0.349570662682609,0.697684411948922,-5.55153024319566,"NS"
"PSMD8",0.239127565013577,3.72512518146489,0.950911203552311,0.3496543848295,0.697684411948922,-5.55168009006978,"NS"
"LOC100288846",0.0614756620745103,0.106003951464379,0.950836734347228,0.349691540970854,0.697684411948922,-5.55174657696355,"NS"
"CAPN14",0.00913292851836399,0.0181657583346515,0.950813199092201,0.349703284350427,0.697684411948922,-5.55176758847619,"NS"
