"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"ZFHX4",4.40416067730348e-72,1.67010859981932,0.634,0.404,9.77503462327508e-68,"ZFHX4",0.23,1.55555555555556,FALSE
"EPHA4",1.2385024577933e-70,1.73145237010702,0.431,0.203,2.74885620507223e-66,"EPHA4",0.228,2.07042253521127,FALSE
"PER1",1.80249627450152e-91,1.68553746065913,0.667,0.442,4.00064048125612e-87,"PER1",0.225,1.49778761061947,FALSE
"PCDHB8",7.11560268316057e-70,2.09356559815,0.372,0.151,1.57930801552749e-65,"PCDHB8",0.221,2.37267080745342,FALSE
"LRRC16A",3.62795067475522e-61,1.61225715301008,0.399,0.179,8.05223652261921e-57,"LRRC16A",0.22,2.16402116402116,FALSE
"LRP4",1.31116822063175e-54,1.15664924957585,0.529,0.311,2.91013786569217e-50,"LRP4",0.218,1.6791277258567,FALSE
"SEZ6",5.14604139991829e-67,2.36424559306027,0.413,0.195,1.14216388871186e-62,"SEZ6",0.218,2.06341463414634,FALSE
"SPARC",4.00405430042273e-81,0.947638414952586,0.76,0.547,8.88699851978826e-77,"SPARC",0.213,1.38240574506284,FALSE
"CLU",3.71748268066772e-98,0.551102788027737,0.803,0.591,8.250952809742e-94,"CLU",0.212,1.35274542429285,FALSE
"DPF3",7.03247240696749e-62,1.72623606869433,0.387,0.175,1.56085725072643e-57,"DPF3",0.212,2.14594594594595,FALSE
"ITGA7",1.9618330605383e-54,0.541087690037152,0.575,0.364,4.35428847786476e-50,"ITGA7",0.211,1.56417112299465,FALSE
"GRIK2",2.10467531841183e-54,1.19057015056447,0.601,0.392,4.67132686921507e-50,"GRIK2",0.209,1.51990049751244,FALSE
"DSCAM",3.89796051138603e-57,0.994644006421414,0.601,0.393,8.65152335502129e-53,"DSCAM",0.208,1.51612903225806,FALSE
"PRUNE2",2.97281245174605e-54,1.13538688185836,0.426,0.22,6.59815723665036e-50,"PRUNE2",0.206,1.89565217391304,FALSE
